participant,direction,control,log_file,seq_time,first_log_time,last_log_time,stroking_delay_s,stroking_duration_s,eda_file,eda_button_index,eda_button_time,eda_button_sample,eda_stroking_start_sample,eda_stroking_end_sample,time_diff_s,match_quality
S01,parallel,PID,20260309_132641_raw.log,13:26:54,13:27:07,13:28:46,13.9,98.7,opensignals_98D3C1FE03C0_11-57-44_converted.txt,3,13:26:53,9550,9689,10676,0.1,GOOD
S01,parallel,FF+PID,20260309_132947_raw.log,13:29:55,13:30:09,13:31:47,14.5,98.3,opensignals_98D3C1FE03C0_11-57-44_converted.txt,4,13:29:55,11361,11506,12489,0.1,GOOD
S01,orthogonal,PID,20260309_134309_raw.log,13:43:20,13:43:34,13:44:02,13.8,28.1,opensignals_98D3C1FE03C0_11-57-44_converted.txt,5,13:43:20,19415,19553,19834,0.0,GOOD
S01,orthogonal,FF+PID,20260309_134451_raw.log,13:44:57,13:45:12,13:45:40,14.5,28.3,opensignals_98D3C1FE03C0_11-57-44_converted.txt,6,13:44:57,20389,20534,20817,0.1,GOOD
S02,orthogonal,FF+PID,20260309_151249_raw.log,15:12:56,15:13:11,15:13:38,14.6,27.6,opensignals_98D3C1FE03C0_14-55-35_converted.txt,3,15:12:56,8290,8436,8712,0.1,GOOD
S02,orthogonal,PID,20260309_151610_raw.log,15:16:17,15:16:31,15:17:00,13.8,28.9,opensignals_98D3C1FE03C0_14-55-35_converted.txt,5,15:16:17,10300,10438,10727,0.1,GOOD
S02,parallel,PID,20260309_160046_raw.log,16:00:54,16:01:08,16:02:46,13.8,98.4,opensignals_98D3C1FE03C0_14-55-35_converted.txt,12,16:00:55,37077,37215,38199,0.4,GOOD
S02,parallel,FF+PID,20260309_161910_raw.log,16:19:38,16:19:53,16:21:32,14.7,98.7,opensignals_98D3C1FE03C0_14-55-35_converted.txt,14,16:19:39,48320,48467,49454,0.4,GOOD
S03,parallel,PID,20260310_094624_raw.log,09:46:39,09:46:52,09:48:31,13.8,98.5,opensignals_98D3C1FE03C0_09-24-20_converted.txt,2,09:46:39,8189,8327,9312,0.2,GOOD
S03,parallel,FF+PID,20260310_094946_raw.log,09:49:55,09:50:09,09:51:47,13.9,98.6,opensignals_98D3C1FE03C0_09-24-20_converted.txt,3,09:49:55,10151,10290,11276,0.1,GOOD
S03,orthogonal,PID,20260310_100341_raw.log,10:03:56,10:04:09,10:04:37,13.8,27.9,opensignals_98D3C1FE03C0_09-24-20_converted.txt,4,10:03:56,18558,18696,18975,0.1,GOOD
S03,orthogonal,FF+PID,20260310_100804_raw.log,10:08:12,10:08:27,10:08:55,14.1,28.3,opensignals_98D3C1FE03C0_09-24-20_converted.txt,6,10:08:13,21128,21269,21552,0.3,GOOD
S04,orthogonal,PID,20260310_104121_raw.log,10:42:19,10:42:33,10:43:01,13.8,28.0,opensignals_98D3C1FE03C0_10-14-20_converted.txt,2,10:42:20,5304,5442,5722,0.3,GOOD
S04,orthogonal,FF+PID,20260310_104421_raw.log,10:44:30,10:44:45,10:45:13,14.4,28.3,opensignals_98D3C1FE03C0_10-14-20_converted.txt,3,10:44:31,6613,6757,7040,0.2,GOOD
S04,parallel,PID,20260310_110203_raw.log,11:02:10,11:02:23,11:04:02,13.8,99.0,opensignals_98D3C1FE03C0_10-14-20_converted.txt,5,11:02:10,17206,17344,18334,0.3,GOOD
S04,parallel,FF+PID,20260310_110504_raw.log,11:05:10,11:05:25,11:07:03,14.7,98.3,opensignals_98D3C1FE03C0_10-14-20_converted.txt,6,11:05:10,19010,19157,20140,0.3,GOOD
S05,parallel,FF+PID,20260310_121000_raw.log,12:10:29,12:10:44,12:12:24,14.6,99.6,opensignals_98D3C1FE03C0_11-09-56_converted.txt,1,12:10:30,12609,12755,13751,0.3,GOOD
S05,parallel,PID,20260310_121338_raw.log,12:13:45,12:13:58,12:15:38,13.8,99.1,opensignals_98D3C1FE03C0_11-09-56_converted.txt,2,12:13:45,14563,14701,15692,0.3,GOOD
S05,orthogonal,PID,20260310_123656_raw.log,12:37:25,12:37:38,12:38:06,13.8,27.8,opensignals_98D3C1FE03C0_11-09-56_converted.txt,3,12:37:25,28763,28901,29179,0.3,GOOD
S05,orthogonal,FF+PID,20260310_123926_raw.log,12:39:33,12:39:48,12:40:16,14.8,28.3,opensignals_98D3C1FE03C0_11-09-56_converted.txt,4,12:39:34,30049,30197,30480,0.4,GOOD
S06,orthogonal,PID,20260311_130822_raw.log,13:08:35,13:08:49,13:09:17,13.8,28.4,opensignals_98D3C1FE03C0_12-22-06_converted.txt,2,13:08:35,8002,8140,8424,0.1,GOOD
S06,orthogonal,FF+PID,20260311_131400_raw.log,13:14:09,13:14:24,13:14:52,14.3,28.1,opensignals_98D3C1FE03C0_12-22-06_converted.txt,3,13:14:09,11346,11489,11770,0.1,GOOD
S06,parallel,PID,20260311_133258_raw.log,13:33:09,13:33:23,13:35:02,13.8,98.7,opensignals_98D3C1FE03C0_12-22-06_converted.txt,4,13:33:09,22744,22882,23869,0.1,GOOD
S06,parallel,FF+PID,20260311_133639_raw.log,13:37:05,13:37:19,13:38:57,14.0,98.6,opensignals_98D3C1FE03C0_12-22-06_converted.txt,5,13:37:05,25102,25242,26228,0.0,GOOD
S07,parallel,PID,20260311_174138_raw.log,17:41:44,17:41:58,17:43:36,13.8,98.3,opensignals_98D3C1FE03C0_17-21-21_converted.txt,1,17:41:44,10181,10319,11302,0.1,GOOD
S07,parallel,FF+PID,20260311_174602_raw.log,17:46:09,17:46:23,17:48:02,13.9,99.1,opensignals_98D3C1FE03C0_17-21-21_converted.txt,3,17:46:10,12834,12973,13964,0.1,GOOD
S07,orthogonal,PID,20260311_180338_raw.log,18:03:44,18:03:58,18:04:27,13.8,28.5,opensignals_98D3C1FE03C0_17-21-21_converted.txt,4,18:03:45,23385,23523,23808,0.1,GOOD
S07,orthogonal,FF+PID,20260311_180539_raw.log,18:05:49,18:06:03,18:06:32,14.0,28.6,opensignals_98D3C1FE03C0_17-21-21_converted.txt,5,18:05:49,24632,24772,25058,0.1,GOOD
S08,orthogonal,PID,20260312_130037_raw.log,13:00:43,13:00:57,13:01:25,13.8,28.4,opensignals_98D3C1FE03C0_12-09-19_converted.txt,2,13:00:43,7735,7873,8157,0.2,GOOD
S08,orthogonal,FF+PID,20260312_130241_raw.log,13:02:50,13:03:04,13:03:33,14.2,28.9,opensignals_98D3C1FE03C0_12-09-19_converted.txt,3,13:02:50,9009,9151,9440,0.2,GOOD
S08,parallel,PID,20260312_132554_raw.log,13:26:04,13:26:18,13:27:56,13.8,98.3,opensignals_98D3C1FE03C0_12-09-19_converted.txt,4,13:26:04,22948,23086,24069,0.2,GOOD
S08,parallel,FF+PID,20260312_132844_raw.log,13:28:50,13:29:04,13:30:43,14.1,98.8,opensignals_98D3C1FE03C0_12-09-19_converted.txt,5,13:28:50,24609,24750,25738,0.2,GOOD
S09,parallel,FF+PID,20260312_141811_raw.log,14:18:17,14:18:31,14:20:10,14.1,98.8,opensignals_98D3C1FE03C0_13-39-01_converted.txt,1,14:18:17,10654,10795,11783,0.2,GOOD
S09,parallel,PID,20260312_142309_raw.log,14:23:23,14:23:37,14:25:15,13.8,98.7,opensignals_98D3C1FE03C0_13-39-01_converted.txt,3,14:23:23,13713,13851,14838,0.2,GOOD
S09,orthogonal,PID,20260312_143853_raw.log,14:39:02,14:39:16,14:39:44,13.8,28.6,opensignals_98D3C1FE03C0_13-39-01_converted.txt,4,14:39:02,23103,23241,23527,0.2,GOOD
S09,orthogonal,FF+PID,20260312_144205_raw.log,14:42:32,14:42:47,14:43:15,14.4,28.4,opensignals_98D3C1FE03C0_13-39-01_converted.txt,6,14:42:32,25206,25350,25634,0.3,GOOD
S10,orthogonal,FF+PID,20260312_165214_raw.log,16:52:22,16:52:36,16:53:04,14.3,28.6,opensignals_98D3C1FE03C0_16-04-41_converted.txt,1,16:52:21,6324,6467,6753,0.1,GOOD
S10,orthogonal,PID,20260312_165712_raw.log,16:57:22,16:57:35,16:58:04,13.8,28.4,opensignals_98D3C1FE03C0_16-04-41_converted.txt,4,16:57:22,9325,9463,9747,0.1,GOOD
