participant,direction,control,match_quality,stroking_duration_s,scl_mean,scl_sd,scl_min,scl_max,scl_range,scl_auc,n_samples,duration_s,scr_baseline_mean,scr_peak_value,scr_amplitude,scr_latency_s,scr_peak_time_s,scr_count,scr_auc_zero,scr_auc_baseline,scr_auc_initial
S01,parallel,PID,GOOD,98.7,1.2926,0.0292,1.22,1.37,0.15,127.447,987,98.7,0.0078,0.054,0.0462,2.5,98.5,39,0.0476,-0.7206,1.0513
S01,parallel,FF+PID,GOOD,98.3,1.3955,0.0776,1.25,1.64,0.39,137.0195,983,98.3,-0.0153,0.0572,0.0725,0.0,96.0,65,-0.0612,1.4423,-0.6042
S01,orthogonal,PID,GOOD,28.1,2.3524,0.2202,2.0,2.71,0.71,65.865,281,28.1,0.0006,0.0807,0.08,4.5,26.1,12,0.1135,0.0953,0.4254
S01,orthogonal,FF+PID,GOOD,28.3,3.2764,0.1431,2.95,3.54,0.59,92.399,283,28.3,-0.0265,0.0848,0.1113,0.0,25.7,19,0.5042,1.252,0.2174
S02,orthogonal,FF+PID,GOOD,27.6,11.8474,0.1695,11.55,12.26,0.71,325.82,276,27.6,0.0011,0.3016,0.3006,8.4,9.5,14,0.8792,0.8496,1.1747
S02,orthogonal,PID,GOOD,28.9,12.8324,0.1958,12.4,13.55,1.15,369.595,289,28.9,-0.0093,0.6906,0.6999,2.6,3.6,11,0.6893,0.9575,6.7134
S02,parallel,PID,GOOD,98.4,13.2707,1.559,10.06,15.58,5.52,1304.607,984,98.4,0.0173,0.6351,0.6177,2.0,3.1,19,1.0877,-0.6133,21.5411
S02,parallel,FF+PID,GOOD,98.7,12.774,1.6832,9.84,15.31,5.47,1259.542,987,98.7,-0.0146,0.1159,0.1305,2.1,46.0,51,-0.8557,0.5817,3.7065
S03,parallel,PID,GOOD,98.5,1.1747,0.0387,1.07,1.27,0.2,115.59,985,98.5,-0.0068,0.0411,0.0479,0.1,6.9,68,0.0345,0.7005,-0.0189
S03,parallel,FF+PID,GOOD,98.6,0.962,0.0513,0.85,1.1,0.25,94.758,986,98.6,-0.0083,0.0495,0.0579,0.0,43.7,66,0.0063,0.8285,-0.5406
S03,orthogonal,PID,GOOD,27.9,0.7472,0.028,0.68,0.81,0.13,20.776,279,27.9,0.0096,0.0413,0.0317,18.1,23.7,5,-0.0005,-0.2683,0.4626
S03,orthogonal,FF+PID,GOOD,28.3,0.7588,0.036,0.66,0.83,0.17,21.392,283,28.3,-0.0134,0.0457,0.0591,0.0,1.5,19,0.0636,0.4407,-0.7472
S04,orthogonal,PID,GOOD,28.0,16.7545,1.2142,14.72,18.82,4.1,467.5175,280,28.0,-0.2164,1.1052,1.3216,0.0,7.9,15,1.2233,7.2601,6.9311
S04,orthogonal,FF+PID,GOOD,28.3,13.1293,0.3183,12.6,13.94,1.34,370.283,283,28.3,0.0467,0.7201,0.6734,2.7,3.3,11,2.5638,1.2472,11.1581
S04,parallel,PID,GOOD,99.0,16.9993,1.7651,13.65,22.05,8.4,1680.9015,990,99.0,0.079,1.457,1.378,5.6,98.5,23,-0.8495,-8.6645,29.1691
S04,parallel,FF+PID,GOOD,98.3,17.6518,1.6806,14.6,22.05,7.45,1733.3055,983,98.3,0.2988,1.5688,1.2701,21.4,51.4,6,-0.5084,-29.8461,7.6185
S05,parallel,FF+PID,GOOD,99.6,8.6456,0.2982,8.15,9.13,0.98,860.264,996,99.6,0.0326,0.1292,0.0966,6.1,62.7,14,-0.0694,-3.3121,4.5247
S05,parallel,PID,GOOD,99.1,8.7704,0.4044,8.23,10.18,1.95,868.1795,991,99.1,0.0191,0.2659,0.2468,8.1,83.6,27,-0.0851,-1.9758,-0.1958
S05,orthogonal,PID,GOOD,27.8,10.4827,0.2402,9.89,10.84,0.95,290.3785,278,27.8,0.0051,0.2257,0.2206,1.9,3.4,11,0.2655,0.1237,2.081
S05,orthogonal,FF+PID,GOOD,28.3,10.119,0.0893,9.86,10.3,0.44,285.3635,283,28.3,-0.0022,0.0951,0.0973,0.3,5.9,19,0.0841,0.1459,0.278
S06,orthogonal,PID,GOOD,28.4,21.7451,2.5598,17.94,24.9,6.96,615.4405,284,28.4,0.2363,1.8845,1.6483,0.0,11.9,9,1.6006,-5.0863,-6.1731
S06,orthogonal,FF+PID,GOOD,28.1,20.1072,2.3901,16.82,24.61,7.79,562.939,281,28.1,-0.8781,0.8763,1.7545,0.0,2.5,12,1.1528,25.7401,-44.4034
S06,parallel,PID,GOOD,98.7,22.2134,1.3872,18.99,24.9,5.91,2190.3215,987,98.7,-0.9826,1.5186,2.5012,0.0,72.4,44,1.6261,98.5144,44.0882
S06,parallel,FF+PID,GOOD,98.6,20.0219,2.9753,15.33,24.9,9.57,1972.02,986,98.6,0.1069,1.1816,1.0747,0.1,57.0,23,-5.062,-15.5875,-15.2855
S07,parallel,PID,GOOD,98.3,8.0412,0.6577,7.01,9.64,2.63,789.6435,983,98.3,-0.042,0.3999,0.4419,2.0,3.3,56,1.4325,5.5527,11.8386
S07,parallel,FF+PID,GOOD,99.1,8.7584,0.485,7.69,9.72,2.03,867.0555,991,99.1,0.0015,0.5673,0.5658,2.3,52.0,29,-0.0614,-0.2108,12.0241
S07,orthogonal,PID,GOOD,28.5,10.0501,0.3242,9.52,10.69,1.17,285.4175,285,28.5,-0.0141,0.0978,0.1119,0.0,2.9,15,0.3733,0.7729,-0.8412
S07,orthogonal,FF+PID,GOOD,28.6,9.5136,0.3211,8.94,10.11,1.17,271.132,286,28.6,-0.0263,0.1679,0.1942,0.0,21.1,15,-0.4955,0.253,-1.6247
S08,orthogonal,PID,GOOD,28.4,5.606,0.48,4.86,6.62,1.76,158.59,284,28.4,-0.2101,0.4333,0.6434,0.0,24.5,17,0.2861,6.2315,-0.5068
S08,orthogonal,FF+PID,GOOD,28.9,3.4634,0.3178,2.95,4.05,1.1,99.738,289,28.9,0.0112,0.1206,0.1094,3.2,19.9,14,0.39,0.067,0.6443
S08,parallel,PID,GOOD,98.3,6.8944,0.4113,5.88,7.84,1.96,677.073,983,98.3,-0.0317,0.327,0.3587,0.0,11.6,45,0.6959,3.8076,-10.8482
S08,parallel,FF+PID,GOOD,98.8,6.3698,0.4243,5.54,7.28,1.74,628.7175,988,98.8,0.0024,0.4766,0.4742,5.9,30.2,30,0.8966,0.66,3.4565
S09,parallel,FF+PID,GOOD,98.8,13.6095,1.2749,11.52,16.87,5.35,1343.4325,988,98.8,-0.0225,1.1372,1.1597,3.1,68.7,22,1.5312,3.7521,9.5459
S09,parallel,PID,GOOD,98.7,14.2241,1.8908,12.04,20.61,8.57,1402.6065,987,98.7,-0.0311,2.5513,2.5824,2.5,23.9,27,-1.3297,1.7384,21.7521
S09,orthogonal,PID,GOOD,28.6,11.7246,0.3497,11.23,12.57,1.34,334.1435,286,28.6,-0.1133,0.7938,0.9071,0.8,19.8,8,0.4713,3.6994,4.8703
S09,orthogonal,FF+PID,GOOD,28.4,11.5816,0.2917,11.21,12.48,1.27,327.774,284,28.4,-0.0166,0.9029,0.9195,4.2,16.9,7,0.0569,0.5276,5.6723
S10,orthogonal,FF+PID,GOOD,28.6,8.7459,0.4293,7.91,9.42,1.51,249.2735,286,28.6,0.0211,0.1959,0.1748,3.3,4.3,10,0.5509,-0.0495,3.093
S10,orthogonal,PID,GOOD,28.4,12.8048,0.5427,11.67,13.62,1.95,362.4495,284,28.4,0.0448,0.5444,0.4996,3.5,4.5,8,0.5497,-0.7183,5.4196
S10,parallel,FF+PID,GOOD,97.8,7.8921,1.1751,6.35,10.69,4.34,770.995,978,97.8,-0.0034,0.0554,0.0588,0.1,90.9,42,0.1123,0.4435,0.4231
S10,parallel,PID,GOOD,98.2,15.2299,1.288,12.38,18.16,5.78,1494.221,982,98.2,0.0098,1.7173,1.7076,9.2,50.3,16,0.0658,-0.893,1.2717
S11,parallel,PID,GOOD,98.9,8.6054,0.9692,7.32,10.64,3.32,850.1735,989,98.9,0.0285,0.2643,0.2358,5.4,7.2,8,-0.1249,-2.9388,3.8493
S11,parallel,FF+PID,GOOD,98.8,10.7205,0.9624,8.86,12.4,3.54,1058.2235,988,98.8,-0.1773,0.4978,0.6751,0.0,22.4,58,0.7775,18.2819,-11.9676
