time_s,eda_uS,phase
-20.0,8.03,pre
-19.9,8.18,pre
-19.8,8.25,pre
-19.7,8.3,pre
-19.6,8.25,pre
-19.5,8.06,pre
-19.4,8.28,pre
-19.3,8.03,pre
-19.2,8.28,pre
-19.1,7.96,pre
-19.0,8.35,pre
-18.9,8.28,pre
-18.8,8.4,pre
-18.7,8.28,pre
-18.6,8.2,pre
-18.5,8.37,pre
-18.4,8.11,pre
-18.3,8.35,pre
-18.2,8.37,pre
-18.1,8.59,pre
-18.0,8.33,pre
-17.9,8.35,pre
-17.8,8.47,pre
-17.7,8.4,pre
-17.6,8.47,pre
-17.5,8.15,pre
-17.4,8.5,pre
-17.3,8.42,pre
-17.2,8.45,pre
-17.1,8.52,pre
-17.0,8.45,pre
-16.9,8.47,pre
-16.8,8.35,pre
-16.7,8.64,pre
-16.6,8.5,pre
-16.5,8.57,pre
-16.4,8.57,pre
-16.3,8.67,pre
-16.2,8.69,pre
-16.1,8.52,pre
-16.0,8.64,pre
-15.9,8.59,pre
-15.8,8.54,pre
-15.7,8.47,pre
-15.6,8.69,pre
-15.5,8.64,pre
-15.4,8.69,pre
-15.3,8.67,pre
-15.2,8.62,pre
-15.1,8.64,pre
-15.0,8.57,pre
-14.9,8.74,pre
-14.8,8.67,pre
-14.7,8.69,pre
-14.6,8.67,pre
-14.5,8.64,pre
-14.4,8.69,pre
-14.3,8.62,pre
-14.2,8.76,pre
-14.1,8.64,pre
-14.0,8.76,pre
-13.9,8.64,pre
-13.8,8.69,pre
-13.7,8.81,pre
-13.6,8.72,pre
-13.5,8.84,pre
-13.4,8.67,pre
-13.3,8.81,pre
-13.2,8.76,pre
-13.1,8.86,pre
-13.0,8.91,pre
-12.9,8.98,pre
-12.8,8.86,pre
-12.7,8.94,pre
-12.6,9.16,pre
-12.5,9.25,pre
-12.4,9.45,pre
-12.3,9.67,pre
-12.2,9.94,pre
-12.1,10.01,pre
-12.0,10.06,pre
-11.9,10.25,pre
-11.8,10.23,pre
-11.7,10.33,pre
-11.6,10.35,pre
-11.5,10.45,pre
-11.4,10.45,pre
-11.3,10.45,pre
-11.2,10.47,pre
-11.1,10.45,pre
-11.0,10.52,pre
-10.9,10.3,pre
-10.8,10.57,pre
-10.7,10.52,pre
-10.6,10.69,pre
-10.5,10.77,pre
-10.4,10.91,pre
-10.3,11.04,pre
-10.2,11.21,pre
-10.1,11.35,pre
-10.0,11.6,pre
-9.9,11.87,pre
-9.8,12.11,pre
