time_s,eda_uS,phase
-20.0,10.72,pre
-19.9,10.69,pre
-19.8,10.64,pre
-19.7,10.69,pre
-19.6,10.67,pre
-19.5,10.52,pre
-19.4,10.74,pre
-19.3,10.52,pre
-19.2,10.74,pre
-19.1,10.62,pre
-19.0,10.57,pre
-18.9,10.62,pre
-18.8,10.57,pre
-18.7,10.62,pre
-18.6,10.33,pre
-18.5,10.64,pre
-18.4,10.52,pre
-18.3,10.55,pre
-18.2,10.55,pre
-18.1,10.55,pre
-18.0,10.55,pre
-17.9,10.25,pre
-17.8,10.62,pre
-17.7,10.52,pre
-17.6,10.5,pre
-17.5,10.55,pre
-17.4,10.5,pre
-17.3,10.5,pre
-17.2,10.57,pre
-17.1,10.5,pre
-17.0,10.42,pre
-16.9,10.55,pre
-16.8,10.42,pre
-16.7,10.5,pre
-16.6,10.47,pre
-16.5,10.55,pre
-16.4,10.47,pre
-16.3,10.45,pre
-16.2,10.52,pre
-16.1,10.42,pre
-16.0,10.5,pre
-15.9,10.47,pre
-15.8,10.57,pre
-15.7,10.45,pre
-15.6,10.42,pre
-15.5,10.5,pre
-15.4,10.52,pre
-15.3,10.5,pre
-15.2,10.4,pre
-15.1,10.55,pre
-15.0,10.45,pre
-14.9,10.45,pre
-14.8,10.42,pre
-14.7,10.55,pre
-14.6,10.5,pre
-14.5,10.33,pre
-14.4,10.5,pre
-14.3,10.52,pre
-14.2,10.52,pre
-14.1,10.38,pre
-14.0,10.45,pre
-13.9,10.47,pre
-13.8,10.42,pre
-13.7,10.45,pre
-13.6,10.52,pre
-13.5,10.72,pre
-13.4,10.47,pre
-13.3,10.62,pre
-13.2,10.55,pre
-13.1,10.62,pre
-13.0,10.57,pre
-12.9,10.69,pre
-12.8,10.64,pre
-12.7,10.55,pre
-12.6,10.6,pre
-12.5,10.6,pre
-12.4,10.72,pre
-12.3,10.55,pre
-12.2,10.57,pre
-12.1,10.67,pre
-12.0,10.72,pre
-11.9,10.62,pre
-11.8,10.38,pre
-11.7,10.69,pre
-11.6,10.69,pre
-11.5,10.57,pre
-11.4,10.6,pre
-11.3,10.62,pre
-11.2,10.62,pre
-11.1,10.38,pre
-11.0,10.62,pre
-10.9,10.57,pre
-10.8,10.57,pre
-10.7,10.55,pre
-10.6,10.62,pre
-10.5,10.64,pre
-10.4,10.79,pre
-10.3,10.57,pre
-10.2,10.6,pre
-10.1,10.62,pre
-10.0,10.45,pre
-9.9,10.55,pre
-9.8,10.5,pre
-9.7,10.62,pre
-9.6,10.45,pre
-9.5,10.45,pre
-9.4,10.52,pre
-9.3,10.47,pre
-9.2,10.52,pre
-9.1,10.21,pre
-9.0,10.45,pre
-8.9,10.42,pre
-8.8,10.33,pre
-8.7,10.47,pre
-8.6,10.52,pre
-8.5,10.42,pre
-8.4,10.21,pre
-8.3,10.42,pre
-8.2,10.42,pre
-8.1,10.45,pre
-8.0,10.23,pre
-7.9,10.38,pre
-7.8,10.42,pre
-7.7,10.35,pre
-7.6,10.33,pre
-7.5,10.28,pre
-7.4,10.3,pre
-7.3,10.25,pre
-7.2,10.23,pre
-7.1,10.18,pre
-7.0,10.3,pre
-6.9,10.21,pre
-6.8,10.21,pre
-6.7,10.25,pre
-6.6,10.11,pre
-6.5,10.18,pre
-6.4,10.08,pre
-6.3,10.18,pre
-6.2,10.08,pre
-6.1,10.11,pre
-6.0,10.08,pre
-5.9,10.11,pre
-5.8,10.06,pre
-5.7,10.03,pre
-5.6,10.01,pre
-5.5,9.96,pre
-5.4,9.99,pre
-5.3,9.99,pre
-5.2,9.91,pre
-5.1,9.91,pre
-5.0,9.91,pre
-4.9,9.96,pre
-4.8,9.91,pre
-4.7,9.81,pre
-4.6,9.74,pre
-4.5,9.91,pre
-4.4,9.74,pre
-4.3,9.74,pre
-4.2,9.79,pre
-4.1,9.77,pre
-4.0,9.77,pre
-3.9,9.72,pre
-3.8,9.74,pre
-3.7,9.69,pre
-3.6,9.67,pre
-3.5,9.69,pre
-3.4,9.67,pre
-3.3,9.64,pre
-3.2,9.59,pre
-3.1,9.67,pre
-3.0,9.64,pre
-2.9,9.64,pre
-2.8,9.52,pre
-2.7,9.57,pre
-2.6,9.59,pre
-2.5,9.55,pre
-2.4,9.55,pre
-2.3,9.45,pre
-2.2,9.57,pre
-2.1,9.52,pre
-2.0,9.5,pre
-1.9,9.47,pre
-1.8,9.47,pre
-1.7,9.5,pre
-1.6,9.4,pre
-1.5,9.45,pre
-1.4,9.4,pre
-1.3,9.4,pre
-1.2,9.37,pre
-1.1,9.42,pre
-1.0,9.37,pre
-0.9,9.37,pre
-0.8,9.35,pre
-0.7,9.33,pre
-0.6,9.33,pre
-0.5,9.23,pre
-0.4,9.28,pre
-0.3,9.2,pre
-0.2,9.28,pre
-0.1,9.18,pre
0.0,9.25,stroking
0.1,9.28,stroking
0.2,9.25,stroking
0.3,9.18,stroking
0.4,9.11,stroking
0.5,9.2,stroking
0.6,9.2,stroking
0.7,9.18,stroking
0.8,9.08,stroking
0.9,9.25,stroking
1.0,9.16,stroking
1.1,9.11,stroking
1.2,9.18,stroking
1.3,8.98,stroking
1.4,9.08,stroking
1.5,8.94,stroking
1.6,9.18,stroking
1.7,9.06,stroking
1.8,9.18,stroking
1.9,8.98,stroking
2.0,9.03,stroking
2.1,9.08,stroking
2.2,8.81,stroking
2.3,8.98,stroking
2.4,8.94,stroking
2.5,9.08,stroking
2.6,8.86,stroking
2.7,8.94,stroking
2.8,8.98,stroking
2.9,8.98,stroking
3.0,8.89,stroking
3.1,8.81,stroking
3.2,8.98,stroking
3.3,8.98,stroking
3.4,9.01,stroking
3.5,9.16,stroking
3.6,9.25,stroking
3.7,9.33,stroking
3.8,9.03,stroking
3.9,9.4,stroking
4.0,9.55,stroking
4.1,9.5,stroking
4.2,9.45,stroking
4.3,9.64,stroking
4.4,9.69,stroking
4.5,9.62,stroking
4.6,9.64,stroking
4.7,9.69,stroking
4.8,9.72,stroking
4.9,9.47,stroking
5.0,9.59,stroking
5.1,9.4,stroking
5.2,9.62,stroking
5.3,9.47,stroking
5.4,9.45,stroking
5.5,9.47,stroking
5.6,9.35,stroking
5.7,9.33,stroking
5.8,9.2,stroking
5.9,9.47,stroking
6.0,9.33,stroking
6.1,9.2,stroking
6.2,9.28,stroking
6.3,9.35,stroking
6.4,9.2,stroking
6.5,8.98,stroking
6.6,9.18,stroking
6.7,9.16,stroking
6.8,9.06,stroking
6.9,9.06,stroking
7.0,9.18,stroking
