time_s,eda_uS,phase
-20.0,0.66,pre
-19.9,0.46,pre
-19.8,0.73,pre
-19.7,0.61,pre
-19.6,0.44,pre
-19.5,0.61,pre
-19.4,0.39,pre
-19.3,0.54,pre
-19.2,0.42,pre
-19.1,0.59,pre
-19.0,0.37,pre
-18.9,0.39,pre
-18.8,0.44,pre
-18.7,0.29,pre
-18.6,0.24,pre
-18.5,0.22,pre
-18.4,0.44,pre
-18.3,0.22,pre
-18.2,0.22,pre
-18.1,0.22,pre
-18.0,0.37,pre
-17.9,0.27,pre
-17.8,0.34,pre
-17.7,0.27,pre
-17.6,0.02,pre
-17.5,0.17,pre
-17.4,0.05,pre
-17.3,0.37,pre
-17.2,0.02,pre
-17.1,0.02,pre
-17.0,0.0,pre
-16.9,0.0,pre
-16.8,0.0,pre
-16.7,0.0,pre
-16.6,0.0,pre
-16.5,0.0,pre
-16.4,0.0,pre
-16.3,0.0,pre
-16.2,0.0,pre
-16.1,0.0,pre
-16.0,0.0,pre
-15.9,0.0,pre
-15.8,0.0,pre
-15.7,0.1,pre
-15.6,0.0,pre
-15.5,0.0,pre
-15.4,0.0,pre
-15.3,0.0,pre
-15.2,0.0,pre
-15.1,0.0,pre
-15.0,0.0,pre
-14.9,0.0,pre
-14.8,0.0,pre
-14.7,0.0,pre
-14.6,0.0,pre
-14.5,0.0,pre
-14.4,0.0,pre
-14.3,0.0,pre
-14.2,0.0,pre
-14.1,0.0,pre
-14.0,0.0,pre
-13.9,0.0,pre
-13.8,0.0,pre
-13.7,0.0,pre
-13.6,0.0,pre
-13.5,0.0,pre
-13.4,0.0,pre
-13.3,0.0,pre
-13.2,0.0,pre
-13.1,0.0,pre
-13.0,0.0,pre
-12.9,0.0,pre
-12.8,0.0,pre
-12.7,0.0,pre
-12.6,0.0,pre
-12.5,0.0,pre
-12.4,0.0,pre
-12.3,0.0,pre
-12.2,0.0,pre
-12.1,0.0,pre
-12.0,0.0,pre
-11.9,0.0,pre
-11.8,0.0,pre
-11.7,0.0,pre
-11.6,0.0,pre
-11.5,0.0,pre
-11.4,0.0,pre
-11.3,0.0,pre
-11.2,0.0,pre
-11.1,0.0,pre
-11.0,0.0,pre
-10.9,0.0,pre
-10.8,0.0,pre
-10.7,0.0,pre
-10.6,0.0,pre
-10.5,0.0,pre
-10.4,0.0,pre
-10.3,0.0,pre
-10.2,0.0,pre
-10.1,0.0,pre
-10.0,0.0,pre
-9.9,0.0,pre
-9.8,0.0,pre
-9.7,0.0,pre
-9.6,0.0,pre
-9.5,0.0,pre
-9.4,0.0,pre
-9.3,0.0,pre
-9.2,0.0,pre
-9.1,0.0,pre
-9.0,0.0,pre
-8.9,0.0,pre
-8.8,0.0,pre
-8.7,0.0,pre
-8.6,0.0,pre
-8.5,0.0,pre
-8.4,0.0,pre
-8.3,0.0,pre
-8.2,0.0,pre
-8.1,0.0,pre
-8.0,0.0,pre
-7.9,0.0,pre
-7.8,0.0,pre
-7.7,0.0,pre
-7.6,0.0,pre
-7.5,0.0,pre
-7.4,0.0,pre
-7.3,0.0,pre
-7.2,0.0,pre
-7.1,0.0,pre
-7.0,0.0,pre
-6.9,0.0,pre
-6.8,0.0,pre
-6.7,0.0,pre
-6.6,0.0,pre
-6.5,0.0,pre
-6.4,0.0,pre
-6.3,0.0,pre
-6.2,0.0,pre
-6.1,0.0,pre
-6.0,0.0,pre
-5.9,0.0,pre
-5.8,0.0,pre
-5.7,0.0,pre
-5.6,0.0,pre
-5.5,0.0,pre
-5.4,0.0,pre
-5.3,0.0,pre
-5.2,0.0,pre
-5.1,0.0,pre
-5.0,0.0,pre
-4.9,0.0,pre
-4.8,0.0,pre
-4.7,0.0,pre
-4.6,0.0,pre
-4.5,0.0,pre
-4.4,0.0,pre
-4.3,0.0,pre
-4.2,0.0,pre
-4.1,0.0,pre
-4.0,0.0,pre
-3.9,0.0,pre
-3.8,0.0,pre
-3.7,0.0,pre
-3.6,0.0,pre
-3.5,0.0,pre
-3.4,0.0,pre
-3.3,0.0,pre
-3.2,0.0,pre
-3.1,0.0,pre
-3.0,0.0,pre
-2.9,0.0,pre
-2.8,0.0,pre
-2.7,0.0,pre
-2.6,0.0,pre
-2.5,0.0,pre
-2.4,0.0,pre
-2.3,0.0,pre
