participant,direction,control,condition,rho,p_value,trend,n_cycles
S01,parallel,ff_pid,parallel_FF+PID,0.7576,0.0111,worsening,10
S01,parallel,pid_only,parallel_PID,-0.1152,0.7514,stable,10
S01,orthogonal,ff_pid,orthogonal_FF+PID,-0.103,0.777,stable,10
S01,orthogonal,pid_only,orthogonal_PID,-0.4909,0.1497,improving,10
S02,parallel,ff_pid,parallel_FF+PID,0.2242,0.5334,stable,10
S02,parallel,pid_only,parallel_PID,-0.3697,0.2931,improving,10
S02,orthogonal,ff_pid,orthogonal_FF+PID,-0.4303,0.2145,improving,10
S02,orthogonal,pid_only,orthogonal_PID,0.103,0.777,stable,10
S03,parallel,ff_pid,parallel_FF+PID,0.1394,0.7009,stable,10
S03,parallel,pid_only,parallel_PID,0.3333,0.3466,worsening,10
S03,orthogonal,ff_pid,orthogonal_FF+PID,-0.1879,0.6032,stable,10
S03,orthogonal,pid_only,orthogonal_PID,-0.2727,0.4458,stable,10
S04,parallel,ff_pid,parallel_FF+PID,0.6485,0.0425,worsening,10
S04,parallel,pid_only,parallel_PID,-0.7576,0.0111,improving,10
S04,orthogonal,ff_pid,orthogonal_FF+PID,-0.2364,0.5109,stable,10
S04,orthogonal,pid_only,orthogonal_PID,-0.4182,0.2291,improving,10
S05,parallel,ff_pid,parallel_FF+PID,0.9394,0.0001,worsening,10
S05,parallel,pid_only,parallel_PID,-0.2848,0.425,stable,10
S05,orthogonal,ff_pid,orthogonal_FF+PID,0.7091,0.0217,worsening,10
S05,orthogonal,pid_only,orthogonal_PID,0.5636,0.0897,worsening,10
S06,parallel,ff_pid,parallel_FF+PID,0.9636,0.0,worsening,10
S06,parallel,pid_only,parallel_PID,0.2242,0.5334,stable,10
S06,orthogonal,ff_pid,orthogonal_FF+PID,0.503,0.1383,worsening,10
S06,orthogonal,pid_only,orthogonal_PID,0.0788,0.8287,stable,10
S07,parallel,ff_pid,parallel_FF+PID,0.903,0.0003,worsening,10
S07,parallel,pid_only,parallel_PID,-0.2606,0.4671,stable,10
S07,orthogonal,ff_pid,orthogonal_FF+PID,0.6606,0.0376,worsening,10
S07,orthogonal,pid_only,orthogonal_PID,0.1273,0.7261,stable,10
S08,parallel,ff_pid,parallel_FF+PID,0.7091,0.0217,worsening,10
S08,parallel,pid_only,parallel_PID,-0.1758,0.6272,stable,10
S08,orthogonal,ff_pid,orthogonal_FF+PID,0.697,0.0251,worsening,10
S08,orthogonal,pid_only,orthogonal_PID,-0.2,0.5796,stable,10
S09,parallel,ff_pid,parallel_FF+PID,0.9152,0.0002,worsening,10
S09,parallel,pid_only,parallel_PID,-0.5152,0.1276,improving,10
S09,orthogonal,ff_pid,orthogonal_FF+PID,0.1152,0.7514,stable,10
S09,orthogonal,pid_only,orthogonal_PID,-0.2,0.5796,stable,10
S10,parallel,ff_pid,parallel_FF+PID,0.8909,0.0005,worsening,10
S10,parallel,pid_only,parallel_PID,-0.0909,0.8028,stable,10
S10,orthogonal,ff_pid,orthogonal_FF+PID,-0.3939,0.26,improving,10
S10,orthogonal,pid_only,orthogonal_PID,-0.1273,0.7261,stable,10
S11,parallel,ff_pid,parallel_FF+PID,0.6242,0.0537,worsening,10
S11,parallel,pid_only,parallel_PID,-0.4424,0.2004,improving,10
S11,orthogonal,ff_pid,orthogonal_FF+PID,0.1152,0.7514,stable,10
S11,orthogonal,pid_only,orthogonal_PID,0.1636,0.6515,stable,10
S12,parallel,ff_pid,parallel_FF+PID,0.7697,0.0092,worsening,10
S12,parallel,pid_only,parallel_PID,-0.8061,0.0049,improving,10
S12,orthogonal,ff_pid,orthogonal_FF+PID,-0.4303,0.2145,improving,10
S12,orthogonal,pid_only,orthogonal_PID,0.1515,0.6761,stable,10
S13,parallel,ff_pid,parallel_FF+PID,0.7818,0.0075,worsening,10
S13,parallel,pid_only,parallel_PID,-0.1273,0.7261,stable,10
S13,orthogonal,ff_pid,orthogonal_FF+PID,-0.1394,0.7009,stable,10
S13,orthogonal,pid_only,orthogonal_PID,-0.0667,0.8548,stable,10
S14,parallel,ff_pid,parallel_FF+PID,-0.2364,0.5109,stable,10
S14,parallel,pid_only,parallel_PID,0.1758,0.6272,stable,10
S14,orthogonal,ff_pid,orthogonal_FF+PID,-0.4909,0.1497,improving,10
S14,orthogonal,pid_only,orthogonal_PID,-0.1394,0.7009,stable,10
S15,parallel,ff_pid,parallel_FF+PID,0.4182,0.2291,worsening,10
S15,parallel,pid_only,parallel_PID,0.297,0.4047,stable,10
S15,orthogonal,ff_pid,orthogonal_FF+PID,0.7212,0.0186,worsening,10
S15,orthogonal,pid_only,orthogonal_PID,0.1152,0.7514,stable,10
S16,parallel,ff_pid,parallel_FF+PID,0.7939,0.0061,worsening,10
S16,parallel,pid_only,parallel_PID,-0.103,0.777,stable,10
S16,orthogonal,ff_pid,orthogonal_FF+PID,-0.5394,0.1076,improving,10
S16,orthogonal,pid_only,orthogonal_PID,-0.1515,0.6761,stable,10
S17,parallel,ff_pid,parallel_FF+PID,0.6848,0.0289,worsening,10
S17,parallel,pid_only,parallel_PID,0.3576,0.3104,worsening,10
S17,orthogonal,ff_pid,orthogonal_FF+PID,0.1758,0.6272,stable,10
S17,orthogonal,pid_only,orthogonal_PID,0.1636,0.6515,stable,10
S18,parallel,ff_pid,parallel_FF+PID,0.9273,0.0001,worsening,10
S18,parallel,pid_only,parallel_PID,0.4909,0.1497,worsening,10
S18,orthogonal,ff_pid,orthogonal_FF+PID,-0.0667,0.8548,stable,10
S18,orthogonal,pid_only,orthogonal_PID,0.0424,0.9074,stable,10
S19,parallel,ff_pid,parallel_FF+PID,0.9879,0.0,worsening,10
S19,parallel,pid_only,parallel_PID,-0.7212,0.0186,improving,10
S19,orthogonal,ff_pid,orthogonal_FF+PID,-0.2606,0.4671,stable,10
S19,orthogonal,pid_only,orthogonal_PID,-0.3576,0.3104,improving,10
S20,parallel,ff_pid,parallel_FF+PID,0.9152,0.0002,worsening,10
S20,parallel,pid_only,parallel_PID,-0.5636,0.0897,improving,10
S20,orthogonal,ff_pid,orthogonal_FF+PID,-0.1515,0.6761,stable,10
S20,orthogonal,pid_only,orthogonal_PID,0.297,0.4047,stable,10
