participant,direction,control,cycle,stroke,time_ms,force_g,pos_y_m,pos_x_m,angle_deg,speed_cms,time_s,force_N,pos_y_cm,pos_x_cm,label_moving,label_steady
S15,parallel,ff_pid,1,s,38871,39.27,0.0000,0.0000,0.09,0.119,0.0,0.38524,0.0,0.0,0,0
S15,parallel,ff_pid,1,s,38971,39.24,0.0000,0.0000,0.28,0.796,0.1,0.38494,0.0,0.0,0,0
S15,parallel,ff_pid,1,f,39072,39.28,0.0021,0.0000,0.71,2.365,0.201,0.38534,0.21,0.0,1,0
S15,parallel,ff_pid,1,f,39223,40.68,0.0061,0.0000,0.86,2.640,0.352,0.39907,0.61,0.0,1,1
S15,parallel,ff_pid,1,f,39324,42.25,0.0089,0.0000,0.87,2.823,0.453,0.41447,0.89,0.0,1,1
S15,parallel,ff_pid,1,f,39516,46.31,0.0140,0.0000,0.74,3.008,0.645,0.4543,1.4,0.0,1,1
S15,parallel,ff_pid,1,f,39616,48.21,0.0171,0.0000,0.66,2.945,0.745,0.47294,1.71,0.0,1,1
S15,parallel,ff_pid,1,f,39717,49.55,0.0198,0.0000,0.59,2.991,0.846,0.48609,1.98,0.0,1,1
S15,parallel,ff_pid,1,f,39818,50.27,0.0223,0.0000,0.53,2.930,0.947,0.49315,2.23,0.0,1,1
S15,parallel,ff_pid,1,f,39918,50.51,0.0250,0.0000,0.44,3.037,1.047,0.4955,2.5,0.0,1,1
S15,parallel,ff_pid,1,f,40022,50.38,0.0278,0.0000,0.35,2.975,1.151,0.49423,2.78,0.0,1,1
S15,parallel,ff_pid,1,f,40125,49.76,0.0305,0.0000,0.26,3.128,1.254,0.48815,3.05,0.0,1,1
S15,parallel,ff_pid,1,f,40328,48.91,0.0357,0.0000,-0.03,3.231,1.457,0.47981,3.57,0.0,1,1
S15,parallel,ff_pid,1,f,40428,48.57,0.0385,0.0000,-0.03,3.182,1.557,0.47647,3.85,0.0,1,1
S15,parallel,ff_pid,1,f,40528,48.39,0.0409,0.0000,0.02,3.105,1.657,0.47471,4.09,0.0,1,1
S15,parallel,ff_pid,1,f,40629,48.49,0.0433,0.0000,-0.02,3.052,1.758,0.47569,4.33,0.0,1,1
S15,parallel,ff_pid,1,f,40729,49.09,0.0461,0.0003,0.02,3.098,1.858,0.48157,4.61,0.03,1,1
