participant,direction,control,condition,mean,sd,rmse,mae,cv,n_points,cycle_rmse_mean,cycle_rmse_sd,n_cycles,fwd_mean,bwd_mean,delta_f,delta_f_pct,avg_delta_mean,avg_delta_sd
S01,parallel,ff_pid,parallel_FF+PID,0.40312,0.05347,0.05353,0.05133,13.26,908,0.05353,0.00061,10,0.44591,0.35292,0.09298,23.25,0.004897,0.000245
S01,parallel,pid_only,parallel_PID,0.41425,0.06258,0.06415,0.05199,15.11,924,0.06412,0.00256,10,0.4608,0.35767,0.10313,25.78,0.007422,0.000654
S01,orthogonal,ff_pid,orthogonal_FF+PID,0.3962,0.03504,0.03518,0.02966,8.84,267,0.0351,0.00219,10,0.40881,0.3844,0.02441,6.1,0.008691,0.000645
S01,orthogonal,pid_only,orthogonal_PID,0.40843,0.09192,0.09213,0.07595,22.51,263,0.09203,0.00378,10,0.40112,0.36436,0.03676,9.19,0.021808,0.001279
S02,parallel,ff_pid,parallel_FF+PID,0.41795,0.06621,0.06856,0.06344,15.84,916,0.06854,0.00218,10,0.46716,0.35431,0.11285,28.21,0.006375,0.000237
S02,parallel,pid_only,parallel_PID,0.41319,0.07579,0.07689,0.06246,18.34,904,0.07687,0.0019,10,0.46911,0.34357,0.12555,31.39,0.009863,0.000727
S02,orthogonal,ff_pid,orthogonal_FF+PID,0.3791,0.0333,0.03926,0.03636,8.78,261,0.03924,0.00097,10,0.39925,0.35755,0.04169,10.42,0.008462,0.0005
S02,orthogonal,pid_only,orthogonal_PID,0.40648,0.0833,0.08339,0.06943,20.49,268,0.08332,0.00579,10,0.4086,0.36659,0.04201,10.5,0.019562,0.002184
S03,parallel,ff_pid,parallel_FF+PID,0.42383,0.04684,0.05253,0.0472,11.05,890,0.05253,0.00094,10,0.4618,0.37375,0.08805,22.01,0.005618,0.000286
S03,parallel,pid_only,parallel_PID,0.41454,0.06926,0.07073,0.05882,16.71,917,0.0707,0.00289,10,0.46766,0.34788,0.11978,29.95,0.007613,0.000544
S03,orthogonal,ff_pid,orthogonal_FF+PID,0.39062,0.04362,0.04454,0.03859,11.17,265,0.04455,0.0031,10,0.40842,0.37103,0.03739,9.35,0.011161,0.001284
S03,orthogonal,pid_only,orthogonal_PID,0.40733,0.09729,0.09739,0.07944,23.89,264,0.09701,0.01192,10,0.39582,0.3691,0.02672,6.68,0.022948,0.003386
S04,parallel,ff_pid,parallel_FF+PID,0.41178,0.0581,0.05925,0.05653,14.11,887,0.05924,0.00136,10,0.45593,0.36037,0.09556,23.89,0.0053,0.000325
S04,parallel,pid_only,parallel_PID,0.41793,0.07351,0.07563,0.06569,17.59,890,0.07537,0.00598,10,0.39704,0.43857,0.04152,10.38,0.007412,0.002358
S04,orthogonal,ff_pid,orthogonal_FF+PID,0.37338,0.03106,0.04086,0.03562,8.32,261,0.04082,0.00244,10,0.38744,0.36353,0.02391,5.98,0.007303,0.00129
S04,orthogonal,pid_only,orthogonal_PID,0.40893,0.09534,0.09558,0.07927,23.31,267,0.09537,0.0074,10,0.38701,0.37771,0.0093,2.32,0.022236,0.002033
S05,parallel,ff_pid,parallel_FF+PID,0.43422,0.05343,0.06343,0.05381,12.31,902,0.06338,0.00255,10,0.47416,0.37942,0.09474,23.68,0.005068,0.00033
S05,parallel,pid_only,parallel_PID,0.41606,0.07561,0.07726,0.06951,18.17,929,0.07725,0.00132,10,0.47892,0.33725,0.14167,35.42,0.006512,0.000352
S05,orthogonal,ff_pid,orthogonal_FF+PID,0.38867,0.03159,0.0335,0.03001,8.13,269,0.0335,0.00093,10,0.40781,0.36604,0.04176,10.44,0.007541,0.000388
S05,orthogonal,pid_only,orthogonal_PID,0.40511,0.08597,0.08595,0.07288,21.22,263,0.08582,0.00682,10,0.37851,0.38863,0.01012,2.53,0.019863,0.002577
S06,parallel,ff_pid,parallel_FF+PID,0.42514,0.04689,0.05318,0.04484,11.03,881,0.05309,0.0038,10,0.46087,0.38122,0.07965,19.91,0.005768,0.000307
S06,parallel,pid_only,parallel_PID,0.41309,0.05835,0.05977,0.05312,14.12,920,0.05977,0.0015,10,0.46221,0.3543,0.10791,26.98,0.00478,0.000325
S06,orthogonal,ff_pid,orthogonal_FF+PID,0.42225,0.04255,0.04794,0.04303,10.08,270,0.04791,0.00268,10,0.43936,0.39459,0.04477,11.19,0.010936,0.000793
S06,orthogonal,pid_only,orthogonal_PID,0.42332,0.14468,0.14627,0.09316,34.18,263,0.12243,0.08185,10,0.38859,0.41745,0.02886,7.22,0.026917,0.023532
S07,parallel,ff_pid,parallel_FF+PID,0.4146,0.05024,0.05229,0.04754,12.12,910,0.05226,0.00145,10,0.45547,0.36164,0.09382,23.46,0.00443,0.000183
