participant,order,condition,direction,control,comfort,naturalness,consistency
S01,1,parallel_PID,parallel,pid_only,5,2,6
S01,2,parallel,parallel,ff_pid,5,3,7
S01,3,orthogonal_PID,orthogonal,pid_only,5,4,5
S01,4,orthogonal,orthogonal,ff_pid,5,4,6
S02,1,orthogonal,orthogonal,ff_pid,3,5,6
S02,2,orthogonal_PID,orthogonal,pid_only,4,3,3
S02,3,parallel_PID,parallel,pid_only,5,3,3
S02,4,parallel,parallel,ff_pid,4,4,3
S03,1,parallel_PID,parallel,pid_only,6,5,6
S03,2,parallel,parallel,ff_pid,6,6,6
S03,3,orthogonal_PID,orthogonal,pid_only,5,4,4
S03,4,orthogonal,orthogonal,ff_pid,5,4,4
S04,1,orthogonal_PID,orthogonal,pid_only,5,4,7
S04,2,orthogonal,orthogonal,ff_pid,5,4,7
S04,3,parallel_PID,parallel,pid_only,5,4,5
S04,4,parallel,parallel,ff_pid,5,4,7
S05,1,parallel,parallel,ff_pid,5,6,7
S05,2,parallel_PID,parallel,pid_only,6,7,7
S05,3,orthogonal_PID,orthogonal,pid_only,5,5,6
S05,4,orthogonal,orthogonal,ff_pid,5,4,4
S06,1,orthogonal_PID,orthogonal,pid_only,6,7,7
S06,2,orthogonal,orthogonal,ff_pid,5,3,6
S06,3,parallel_PID,parallel,pid_only,5,5,3
S06,4,parallel,parallel,ff_pid,6,7,3
S07,1,parallel_PID,parallel,pid_only,3,3,6
S07,2,parallel,parallel,ff_pid,4,4,5
S07,3,orthogonal_PID,orthogonal,pid_only,4,3,5
S07,4,orthogonal,orthogonal,ff_pid,3,3,5
S08,1,orthogonal_PID,orthogonal,pid_only,5,4,5
S08,2,orthogonal,orthogonal,ff_pid,6,5,6
S08,3,parallel_PID,parallel,pid_only,5,5,5
S08,4,parallel,parallel,ff_pid,5,6,6
S09,1,parallel,parallel,ff_pid,5,5,5
S09,2,parallel_PID,parallel,pid_only,4,5,6
S09,3,orthogonal_PID,orthogonal,pid_only,2,3,6
S09,4,orthogonal,orthogonal,ff_pid,2,2,5
S10,1,orthogonal,orthogonal,ff_pid,5,4,6
S10,2,orthogonal_PID,orthogonal,pid_only,6,4,4
S10,3,parallel,parallel,ff_pid,6,4,5
S10,4,parallel_PID,parallel,pid_only,7,4,7
S11,1,parallel_PID,parallel,pid_only,4,4,6
S11,2,parallel,parallel,ff_pid,5,4,6
S11,3,orthogonal_PID,orthogonal,pid_only,5,5,6
S11,4,orthogonal,orthogonal,ff_pid,5,5,6
S12,1,orthogonal,orthogonal,ff_pid,6,6,7
S12,2,orthogonal_PID,orthogonal,pid_only,5,4,6
S12,3,parallel,parallel,ff_pid,4,3,6
S12,4,parallel_PID,parallel,pid_only,5,6,6
S13,1,parallel,parallel,ff_pid,5,4,6
S13,2,parallel_PID,parallel,pid_only,5,3,4
S13,3,orthogonal_PID,orthogonal,pid_only,4,5,5
S13,4,orthogonal,orthogonal,ff_pid,4,5,5
S14,1,orthogonal_PID,orthogonal,pid_only,3,3,5
S14,2,orthogonal,orthogonal,ff_pid,3,5,4
S14,3,parallel,parallel,ff_pid,5,3,5
S14,4,parallel_PID,parallel,pid_only,5,5,5
S15,1,parallel_PID,parallel,pid_only,5,5,6
S15,2,parallel,parallel,ff_pid,6,7,6
S15,3,orthogonal_PID,orthogonal,pid_only,5,7,7
S15,4,orthogonal,orthogonal,ff_pid,7,7,7
S16,1,orthogonal,orthogonal,ff_pid,6,5,5
S16,2,orthogonal_PID,orthogonal,pid_only,5,5,5
S16,3,parallel_PID,parallel,pid_only,5,4,3
S16,4,parallel,parallel,ff_pid,5,4,4
S17,1,parallel,parallel,ff_pid,5,3,3
S17,2,parallel_PID,parallel,pid_only,4,4,5
S17,3,orthogonal,orthogonal,ff_pid,4,5,5
S17,4,orthogonal_PID,orthogonal,pid_only,5,3,2
S18,1,orthogonal,orthogonal,ff_pid,6,6,7
S18,2,orthogonal_PID,orthogonal,pid_only,5,6,3
S18,3,parallel_PID,parallel,pid_only,6,6,7
S18,4,parallel,parallel,ff_pid,7,7,5
S19,1,parallel,parallel,ff_pid,7,6,7
S19,2,parallel_PID,parallel,pid_only,5,3,3
S19,3,orthogonal_PID,orthogonal,pid_only,7,5,6
S19,4,orthogonal,orthogonal,ff_pid,7,6,7
S20,1,orthogonal,orthogonal,ff_pid,4,3,5
S20,2,orthogonal_PID,orthogonal,pid_only,4,4,3
S20,3,parallel_PID,parallel,pid_only,5,5,3
S20,4,parallel,parallel,ff_pid,6,6,4
